City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Qeshm,IR,2022-03-28 04:45:02,26.9581,56.2719,75.09,54,0,14.65
89,Hithadhoo,MV,2022-03-28 04:45:03,-0.6,73.0833,81.68,64,2,5.21
90,Nikolskoye,RU,2022-03-28 04:45:04,59.7035,30.7861,24.71,95,100,12.12
91,Jawar,IN,2022-03-28 04:45:05,23.0,76.5,95.43,9,19,11.74
92,Tagcatong,PH,2022-03-28 04:45:06,9.0022,125.2569,83.84,77,85,9.08
93,Talnakh,RU,2022-03-28 04:45:06,69.4865,88.3972,8.76,92,98,5.75
94,Puerto Del Rosario,ES,2022-03-28 04:45:06,28.5004,-13.8627,62.35,77,0,0.0
95,La Ronge,CA,2022-03-28 04:46:07,55.1001,-105.2842,17.85,62,100,8.05
96,Ruhengeri,RW,2022-03-28 04:46:07,-1.4998,29.635,59.72,92,92,0.51
97,Lilongwe,MW,2022-03-28 04:46:07,-13.9669,33.7873,66.83,96,100,3.06
98,Amapa,BR,2022-03-28 04:46:08,1.0,-52.0,70.52,99,91,2.24
99,Korla,CN,2022-03-28 04:46:08,41.7597,86.1469,57.34,18,25,9.15
100,Bridlington,GB,2022-03-28 04:46:09,54.0831,-0.1919,46.15,98,94,3.0
101,Lagoa,PT,2022-03-28 04:46:09,39.05,-27.9833,58.24,84,96,9.48
102,Portland,US,2022-03-28 04:41:40,45.5234,-122.6762,63.18,77,100,6.91
103,Geraldton,AU,2022-03-28 04:46:09,-28.7667,114.6,95.41,29,54,10.36
104,Yellowknife,CA,2022-03-28 04:46:10,62.456,-114.3525,5.56,71,20,6.91
105,Ponta Do Sol,PT,2022-03-28 04:46:10,32.6667,-17.1,61.05,70,100,2.86
106,Ketchikan,US,2022-03-28 04:46:11,55.3422,-131.6461,46.38,61,0,11.5
107,Biloela,AU,2022-03-28 04:46:11,-24.4167,150.5,88.23,31,8,10.85
108,Saint George,US,2022-03-28 04:42:52,37.1041,-113.5841,71.64,13,0,6.91
109,Sitka,US,2022-03-28 04:46:12,57.0531,-135.33,42.69,70,20,4.61
110,Muros,ES,2022-03-28 04:46:13,42.7762,-9.0603,52.84,88,100,5.97
111,Pisco,PE,2022-03-28 04:46:13,-13.7,-76.2167,68.05,77,0,11.5
112,Cape Town,ZA,2022-03-28 04:42:58,-33.9258,18.4232,63.12,78,20,10.36
113,Mkushi,ZM,2022-03-28 04:46:14,-13.6202,29.3939,65.5,96,100,7.09
114,Asfi,MA,2022-03-28 04:46:14,32.2994,-9.2372,63.12,76,93,12.26
115,Elmina,GH,2022-03-28 04:46:15,5.0898,-1.348,80.1,89,93,7.58
116,Jamestown,US,2022-03-28 04:41:59,42.097,-79.2353,19.71,60,75,10.36
117,Vao,NC,2022-03-28 04:46:15,-22.6667,167.4833,77.05,67,14,15.59
118,Kieta,PG,2022-03-28 04:46:16,-6.2167,155.6333,81.86,83,69,7.85
119,Kaeo,NZ,2022-03-28 04:46:16,-35.1,173.7833,71.33,72,4,6.11
120,Kenai,US,2022-03-28 04:41:45,60.5544,-151.2583,36.03,90,100,19.57
121,Tura,IN,2022-03-28 04:44:34,25.5198,90.2201,91.0,28,7,4.45
122,Flin Flon,CA,2022-03-28 04:45:03,54.7682,-101.865,11.16,95,99,6.76
