City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Ostrovnoy,RU,68.0531,39.5131,21.69,65,100,9.55,light snow
149,Nikolskoye,RU,59.7035,30.7861,30.7,97,100,9.82,light snow
150,Praya,CV,14.9215,-23.5087,68.54,77,40,11.5,scattered clouds
151,Barrow,US,71.2906,-156.7887,-0.38,71,100,17.27,overcast clouds
152,Mazatlan,MX,23.2167,-106.4167,68.92,80,75,0.0,broken clouds
153,Cherskiy,RU,68.75,161.3,4.68,91,64,3.69,broken clouds
154,Geraldton,AU,-28.7667,114.6,90.01,51,40,14.97,scattered clouds
155,Saint-Augustin,CA,51.226,-58.6502,31.46,97,100,7.05,overcast clouds
156,Port Hardy,CA,50.6996,-127.4199,43.72,91,100,5.3,light rain
157,Accra,GH,5.556,-0.1969,80.98,85,67,9.33,broken clouds
158,Honiara,SB,-9.4333,159.95,81.39,85,95,3.0,moderate rain
159,Tuktoyaktuk,CA,69.4541,-133.0374,-17.21,97,13,6.49,few clouds
160,Andenes,NO,69.3143,16.1194,26.58,59,0,26.46,clear sky
161,Tucuma,BR,-0.1833,-50.05,75.04,96,100,6.82,overcast clouds
162,Emba,KZ,48.8264,58.1442,34.54,100,100,17.87,overcast clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,78.26,84,77,7.94,broken clouds
164,Bahia Blanca,AR,-38.7196,-62.2724,60.55,54,0,8.32,clear sky
165,Okhotsk,RU,59.3833,143.3,25.27,66,0,14.52,clear sky
166,Sembe,CG,1.6481,14.5806,73.53,57,43,2.24,scattered clouds
167,Taltal,CL,-25.4,-70.4833,64.74,79,5,1.36,clear sky
168,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.35,92,9,4.85,clear sky
169,Tricase,IT,39.9304,18.3553,52.36,85,100,13.8,overcast clouds
170,Tuatapere,NZ,-46.1333,167.6833,60.28,87,33,7.49,scattered clouds
171,Beyla,GN,8.6833,-8.6333,68.56,85,40,2.75,scattered clouds
172,Inirida,CO,3.8653,-67.9239,73.0,98,94,2.17,overcast clouds
173,Iqaluit,CA,63.7506,-68.5145,9.7,92,100,4.0,overcast clouds
174,Saint-Joseph,RE,-21.3667,55.6167,83.21,78,53,1.45,broken clouds
175,Chuy,UY,-33.6971,-53.4616,59.49,65,0,5.91,clear sky
176,Khilok,RU,51.3674,110.4676,26.38,45,84,13.98,broken clouds
177,Tublay,PH,16.5431,120.6096,85.51,43,90,4.0,overcast clouds
178,Bairiki,KI,1.3292,172.9752,82.4,78,40,5.75,scattered clouds
179,Bara,NG,10.3744,10.7288,70.63,18,17,7.23,few clouds
180,Pallisa,UG,1.145,33.7094,67.69,87,96,2.39,light rain
181,Olafsvik,IS,64.8945,-23.7142,33.35,77,100,20.33,overcast clouds
182,Rio Gallegos,AR,-51.6226,-69.2181,39.25,81,0,2.3,clear sky
183,Clarence Town,AU,-32.5833,151.7833,75.15,92,100,1.16,moderate rain
184,Adolfo Ruiz Cortines,MX,25.75,-108.75,63.68,42,10,5.97,clear sky
185,Lata,PT,40.1629,-8.3327,56.07,59,100,6.22,overcast clouds
186,Sovetskiy,RU,61.3614,63.5842,27.16,91,100,13.33,overcast clouds
187,Zabaykalsk,RU,49.6333,117.3167,35.06,46,93,16.78,overcast clouds
188,Ayna,PE,-12.65,-73.9167,59.11,98,99,0.56,overcast clouds
189,Katsuura,JP,35.1333,140.3,64.42,72,100,15.86,overcast clouds
190,Aksu,CN,41.1231,80.2644,57.94,23,61,4.18,broken clouds
191,Brufut,GM,13.3814,-16.7518,67.08,81,100,14.29,overcast clouds
192,Khed Brahma,IN,24.0333,73.05,99.54,8,20,13.38,few clouds
193,Victoria,HK,22.2855,114.1577,64.33,90,100,1.99,overcast clouds
194,Griffith,US,41.5284,-87.4237,25.9,86,0,0.0,clear sky
195,Qaqortoq,GL,60.7167,-46.0333,23.22,69,35,6.42,scattered clouds
196,Rognan,NO,67.0953,15.3878,30.34,91,99,7.14,light snow
197,Lorengau,PG,-2.0226,147.2712,83.26,73,93,8.72,overcast clouds
198,Kurchatov,RU,51.6601,35.6521,31.96,49,90,12.88,overcast clouds
199,Castro,BR,-24.7911,-50.0119,61.14,99,12,4.61,few clouds
200,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,82,20,5.75,few clouds
201,Cartagena Del Chaira,CO,1.3349,-74.8429,70.59,100,100,2.71,heavy intensity rain
202,Letka,RU,59.6011,49.4232,15.91,81,100,11.25,overcast clouds
203,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.97,100,100,1.1,overcast clouds
204,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,67.33,75,0,2.21,clear sky
205,Severo-Kurilsk,RU,50.6789,156.125,32.14,88,97,32.7,light snow
206,Gotsu,JP,35.0,132.2167,51.8,48,100,16.17,overcast clouds
207,Faanui,PF,-16.4833,-151.75,82.6,70,28,13.91,scattered clouds
208,San Rafael,AR,-34.6177,-68.3301,64.02,35,61,1.95,broken clouds
209,Requena,ES,39.4883,-1.1004,43.52,86,91,4.81,overcast clouds
210,Guozhen,CN,34.3659,107.359,66.11,43,3,7.02,clear sky
211,Pervomayskoye,RU,43.919,46.7102,37.8,55,99,22.77,overcast clouds
212,Leningradskiy,RU,69.3833,178.4167,-6.65,94,42,2.42,scattered clouds
213,Kieta,PG,-6.2167,155.6333,81.61,84,74,7.29,light rain
214,Moree,AU,-29.4667,149.85,75.51,57,92,7.4,overcast clouds
215,Novouzensk,RU,50.4592,48.1431,26.47,92,100,16.02,light snow
216,Tayginka,RU,55.6244,60.5076,35.28,89,100,13.11,overcast clouds
217,Riyadh,SA,24.6877,46.7219,66.34,17,1,12.91,clear sky
218,Kuusamo,FI,65.9667,29.1833,12.24,57,0,8.05,clear sky
219,Panama City,PA,8.9936,-79.5197,79.14,84,100,6.91,overcast clouds
220,Hvolsvollur,IS,63.7533,-20.2243,38.01,75,100,5.3,overcast clouds
221,Lazaro Cardenas,MX,17.9583,-102.2,71.01,74,3,2.08,clear sky
222,Luwuk,ID,-0.9516,122.7875,84.51,74,99,2.98,overcast clouds
223,Ginir,ET,7.1333,40.7,68.2,28,37,6.78,scattered clouds
224,Cavalcante,BR,-13.7975,-47.4583,71.15,64,56,1.81,broken clouds
225,Seoul,KR,37.5683,126.9778,60.19,10,5,3.85,clear sky
226,Qasigiannguit,GL,68.8193,-51.1922,32.25,58,65,11.41,broken clouds
227,Miajadas,ES,39.1513,-5.9084,51.1,69,100,8.03,overcast clouds
228,Hobyo,SO,5.3505,48.5268,82.72,58,94,16.13,overcast clouds
229,Tiznit,MA,29.5833,-9.5,59.14,46,52,2.3,broken clouds
230,Henties Bay,NA,-22.116,14.2845,63.93,88,51,1.61,broken clouds
231,Isla Vista,US,34.4133,-119.861,55.35,80,100,14.97,mist
232,Rawson,AR,-43.3002,-65.1023,61.77,36,24,8.32,few clouds
233,Babu,CN,24.4167,111.5167,70.47,61,88,2.01,overcast clouds
234,Alihe,CN,50.5667,123.7167,43.47,43,5,11.41,clear sky
235,Palkonda,IN,18.6,83.75,104.11,22,20,2.51,few clouds
236,Nioro,GM,13.35,-15.75,71.04,43,100,7.74,overcast clouds
237,Tahta,EG,26.7693,31.5021,59.49,33,0,12.5,clear sky
238,Cleveland,US,41.4995,-81.6954,26.69,61,100,20.71,overcast clouds
239,Caibarien,CU,22.5206,-79.4669,60.12,56,0,14.27,clear sky
240,Upernavik,GL,72.7868,-56.1549,12.09,84,97,8.21,overcast clouds
241,Graham,US,47.0529,-122.2943,53.94,89,75,1.99,broken clouds
242,Hilo,US,19.7297,-155.09,71.33,79,40,5.75,scattered clouds
243,Mar Del Plata,AR,-38.0023,-57.5575,56.88,84,0,4.29,clear sky
244,Jinchang,CN,38.4953,102.1739,57.96,15,90,25.68,overcast clouds
245,Takoradi,GH,4.8845,-1.7554,79.83,89,99,6.96,overcast clouds
246,Kabo,CF,7.6994,18.629,74.98,18,77,3.44,broken clouds
247,Airai,TL,-8.9266,125.4092,69.21,79,95,0.89,overcast clouds
248,Nishihara,JP,26.1842,127.7558,64.06,77,75,16.11,broken clouds
249,Morondava,MG,-20.2833,44.2833,81.7,76,69,1.92,broken clouds
250,Orguz,BA,43.7739,16.8639,45.97,61,95,2.44,overcast clouds
251,Aleksandrovskiy Zavod,RU,50.9237,117.9374,28.04,53,99,16.13,overcast clouds
252,Awbari,LY,26.5921,12.7805,64.0,9,18,12.71,few clouds
